CVE_ENT,CVE_MUN,CVEGEO,NOMGEO,num,region,pop2015,pop2016,pop2017,pop2018,pop2019
15,106,15106,Toluca,17,TOLUCA,914841,928674,942281,955654,968777
15,125,15125,Tonanitla,14,TEPOTZOTLÁN,12067,12304,12528,12742,12947
15,107,15107,Tonatico,12,TEJUPILCO,13451,13629,13803,13973,14140
15,108,15108,Tultepec,18,TULTITLÁN,90404,90921,91626,92467,93404
15,109,15109,Tultitlán,18,TULTITLÁN,589477,598659,607583,616255,624672
15,110,15110,Valle de Bravo,19,VALLE DE BRAVO,70514,71755,72959,74130,75271
15,122,15122,Valle de Chalco Solidaridad,1,AMECAMECA,395622,401701,407803,413892,419935
15,111,15111,Villa de Allende,19,VALLE DE BRAVO,53560,54472,55390,56314,57242
15,112,15112,Villa del Carbón,2,ATLACOMULCO,50351,51171,51990,52808,53623
15,113,15113,Villa Guerrero,12,TEJUPILCO,5916,5952,5988,6023,6059
15,114,15114,Villa Victoria,19,VALLE DE BRAVO,108249,110308,112352,114391,116427
15,43,15043,Xalatlaco,7,LERMA,32701,33454,34159,34827,35463
15,115,15115,Xonacatlán,9,NAUCALPAN,49652,50247,50870,51509,52158
15,116,15116,Zacazonapan,19,VALLE DE BRAVO,4381,4436,4493,4552,4612
15,117,15117,Zacualpan,12,TEJUPILCO,16637,16855,17075,17297,17521
15,118,15118,Zinacantepec,17,TOLUCA,197021,200942,204678,208262,211719
15,119,15119,Zumpahuacán,13,TENANCINGO,17451,17666,17900,18148,18407
15,120,15120,Zumpango,20,ZUMPANGO,187782,191458,194932,198245,201428
